""	"filename"	"array"	"scan.date"	"scan.id"	"repl"	"cat"	"cell"	"treat"
"epi.c6.3"	"HuGene2_021815H_ML23_3-7.CEL"	"HuGene2"	"021815H"	"ML23"	"3"	"7"	"epi"	"c6"
"epi.c6.4"	"HuGene2_021815H_ML31_4-7.CEL"	"HuGene2"	"021815H"	"ML31"	"4"	"7"	"epi"	"c6"
"epi.c6.5"	"HuGene2_021815H_ML38_5-7.CEL"	"HuGene2"	"021815H"	"ML38"	"5"	"7"	"epi"	"c6"
"epi.c6r2.2"	"HuGene2_021815H_ML8_2-8.CEL"	"HuGene2"	"021815H"	"ML8"	"2"	"8"	"epi"	"c6r2"
"epi.c6r2.3"	"HuGene2_021815H_ML24_3-8.CEL"	"HuGene2"	"021815H"	"ML24"	"3"	"8"	"epi"	"c6r2"
"epi.c6r2.4"	"HuGene2_021815H_ML32_4-8.CEL"	"HuGene2"	"021815H"	"ML32"	"4"	"8"	"epi"	"c6r2"
"epi.c6r2.5"	"HuGene2_021815H_ML39_5-8.CEL"	"HuGene2"	"021815H"	"ML39"	"5"	"8"	"epi"	"c6r2"
"epi.c18.2"	"HuGene2_021815H_ML9_2-9.CEL"	"HuGene2"	"021815H"	"ML9"	"2"	"9"	"epi"	"c18"
"epi.c18.3"	"HuGene2_021815H_ML11_3-9.CEL"	"HuGene2"	"021815H"	"ML11"	"3"	"9"	"epi"	"c18"
"epi.c18.4"	"HuGene2_021815H_ML13_4-9.CEL"	"HuGene2"	"021815H"	"ML13"	"4"	"9"	"epi"	"c18"
"epi.c18.5"	"HuGene2_021815H_ML15_5-9.CEL"	"HuGene2"	"021815H"	"ML15"	"5"	"9"	"epi"	"c18"
